Attributes,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close
Symbols,GSK,PFE,AZN,GSK,PFE,AZN
Date,,,,,,
6/21/2018,1747800,16027600,5349000,36.56314087,33.4278717,32.6875267
6/22/2018,1592100,25634200,5372800,36.63481522,33.62125015,32.60382843
6/25/2018,2738500,19378100,2818200,35.76575851,33.50154114,32.5201416
6/26/2018,2175400,24131900,5032200,35.88222885,33.50154114,32.43644333
6/27/2018,2031700,27890100,5176100,35.4701004,33.34499359,32.12955856
6/28/2018,2619100,15660500,2941300,35.45218277,33.48311996,32.45504379
6/29/2018,2361500,19900100,3455400,36.11517715,33.40945053,32.6503334
7/2/2018,2552100,13810600,4119700,35.94494629,33.45549774,32.38064194
7/3/2018,1615200,9115900,1909600,36.41979218,33.47391129,32.32484818
7/5/2018,1369100,19346400,3715700,36.49147415,33.95277023,32.48293686
7/6/2018,1865700,17984300,2736100,36.75129318,34.17378235,32.71542358
7/9/2018,2133400,21185400,2062500,36.73337173,34.21982574,32.8828125
7/10/2018,2142900,19216200,2407800,37.11862183,34.46845627,33.10599899
7/11/2018,1444100,16883600,2717600,36.82296371,34.26586914,32.95720673
7/12/2018,2374400,16105200,8103200,37.4053154,34.55134201,34.37072372
7/13/2018,1439100,14447100,5218800,37.3963623,34.56055069,34.5567131
7/16/2018,1254700,16972200,3288200,36.91255569,34.42242432,34.09174347
7/17/2018,2254300,14933600,3201700,36.85879898,34.67105484,34.56601334
7/18/2018,2087400,19737600,3626600,36.70648956,34.68026733,34.71480179
7/19/2018,2159100,15746500,2809000,36.45562363,34.40400696,34.43582153
7/20/2018,10914800,14737000,2004700,37.51283264,34.37638092,34.56601334
7/23/2018,3438400,19784700,1739700,36.67961502,34.26586914,34.5567131
7/24/2018,3575200,16892600,1748700,36.92151642,34.71709824,34.79849625
7/25/2018,5071700,16291300,2712200,36.30331802,34.98414993,34.81709671
7/26/2018,3528200,23567900,6361300,36.15997314,35.14070129,35.47735977
7/27/2018,2303500,20979100,5824600,36.51834488,35.3709259,35.55175018
7/30/2018,1756900,20855300,5274900,36.8050499,35.53667831,35.79353714
7/31/2018,3080500,48232800,6709700,37.26197433,36.77065277,36.38870239
8/1/2018,3324500,31057500,3860500,36.81400681,37.08375168,36.03532028
8/2/2018,4340500,30246000,4556800,36.36603928,36.82371521,36.02602386
8/3/2018,3208600,25966200,4095400,36.57209778,37.65027237,35.95163345
8/6/2018,1726900,26071700,3278000,36.64377594,38.11463165,35.59825516
8/7/2018,2648300,17958800,3970000,37.12757874,37.92888641,36.14691544
8/8/2018,2059600,24513700,2863500,37.27989197,38.45825577,36.50029755
8/9/2018,1930600,19090400,6829400,37.04921722,38.07748413,37.26228714
8/10/2018,2204300,17262000,5708400,36.4054451,38.01247787,37.04592133
8/13/2018,3290800,18843100,3009200,36.06087875,37.90102768,36.70725632
8/14/2018,1710700,16448600,4422400,36.08808136,37.80815506,36.66962433
8/15/2018,3478400,21279400,6109000,36.68652725,38.22607803,36.1710434
8/16/2018,2604000,15614300,6798400,37.02202225,38.46754456,35.71008301
8/17/2018,1872900,24583200,8235400,37.40284729,39.08979034,35.8605957
8/20/2018,2051600,21367200,6166000,37.47538757,39.31268311,36.54733276
8/21/2018,2218100,17678600,4979100,37.62952805,39.15480423,36.46266556
8/22/2018,1588400,14233100,2311200,37.66579819,39.07120895,36.36859512
8/23/2018,2623500,19954600,3232800,37.32123947,39.19194031,35.85119247
8/24/2018,1320700,20551900,3087100,37.43005753,39.37769318,36.02993011
8/27/2018,1690400,23231400,3447800,37.62046814,38.61613846,36.31214905
8/28/2018,1815900,18853600,2828900,37.5116539,38.5418396,36.35918808
8/29/2018,1779300,14976300,2995400,37.71113968,38.5418396,36.51910782
8/30/2018,1408300,15194900,2822300,37.39377594,38.5418396,36.61318207
8/31/2018,2155800,19908500,3605600,36.72279739,38.56041718,36.06755829
9/4/2018,2011400,14492200,3053200,36.57771683,38.42110443,35.57838058
9/5/2018,1486900,20702000,2678300,36.38730621,38.86689377,35.21149826
9/6/2018,2543300,17416300,2252300,36.06994629,38.8018837,34.87282944
9/7/2018,2015300,20134400,2167200,35.90673447,39.19194031,34.97631454
9/10/2018,1934000,20381600,3072800,35.6347084,39.06193161,35.51252747
9/11/2018,2405700,18651600,3783800,35.35362244,39.29411316,35.71949005
9/12/2018,2469800,16611200,7607100,35.68911743,39.38697815,35.64422989
9/13/2018,1677800,17709800,5416000,35.66191864,39.79561234,35.39963913
9/14/2018,2307300,15939900,3847800,35.37175369,39.89777756,35.23031235
9/17/2018,1885700,16038200,3833900,35.55310822,39.94420624,35.33378983
9/18/2018,2769000,19416500,3625400,35.93393326,40.40856934,35.26794052
9/19/2018,2612000,22564600,2142600,35.86139679,40.17638779,35.08920288
9/20/2018,1985100,17476100,1839100,36.15155792,40.6314621,35.48431396
9/21/2018,2225100,35192200,1705200,36.54144669,40.91936493,35.44667816
9/24/2018,1497200,17162800,2143300,36.45077133,40.79862595,35.6065979
9/25/2018,1979400,14533700,6051500,36.59585571,40.66860962,36.39681244
9/26/2018,1795100,17442900,6031900,36.74999237,40.56644821,36.76370239
9/27/2018,1654600,14124700,5442400,36.73186493,40.77077103,37.36576843
9/28/2018,1337600,14662800,3611000,36.42358017,40.92865372,37.22465897
10/1/2018,1829500,16008100,2543500,36.31476212,41.11439133,37.15880966
10/2/2018,1539900,17236900,1868200,36.42358017,41.06795883,37.37517166
10/3/2018,1475700,22730200,6248900,36.71373367,41.61590576,37.70443344
10/4/2018,2172800,17989000,4986500,36.41451263,41.51374054,37.16820908
10/5/2018,1644600,17184600,3303400,36.09715271,41.70877457,36.74488068
10/8/2018,2081400,23415200,2906300,35.6347084,42.0524025,36.07696152
10/9/2018,2704400,20386000,3946400,35.78886032,42.22885513,36.01111984
10/10/2018,2316500,32017300,3227800,35.57124329,41.33728409,35.7947464
10/11/2018,3486600,42029600,6067200,34.88212585,39.75846863,35.40904617
10/12/2018,4188200,28858700,3687000,34.73704147,40.65932083,34.94809723
10/15/2018,3278600,22773000,3034700,35.25388336,40.04636383,35.24912643
10/16/2018,2740600,21208400,7622100,36.08808136,40.79862595,36.76370239
10/17/2018,1510600,21967900,4895200,36.03367996,41.393013,36.96125412
10/18/2018,2174300,21345700,5896100,35.91580582,40.86363983,36.64140701
10/19/2018,4203700,18562500,3574900,37.05828476,41.32799911,36.88599396
10/22/2018,2875300,17103300,4488600,36.72279739,41.20726395,37.14940262
10/23/2018,3330400,21891000,4603400,36.84067154,40.95651627,37.24347305
10/24/2018,4025700,35035300,5809500,35.69818115,39.45198441,35.61601257
10/25/2018,3984000,36623000,5385300,35.84326172,40.31569672,35.54074478
10/26/2018,3140400,28743200,3960300,35.6528511,39.56342697,35.65363693
10/29/2018,2396100,30215900,7780900,35.6528511,40.14852524,35.747715
10/30/2018,3373000,33609300,4884100,35.91580582,39.83276367,36.1710434
10/31/2018,6854000,26748800,4638500,35.41710281,39.99064636,36.48148346
11/1/2018,5068000,23034300,2853700,35.98834229,40.55716705,36.22748184
11/2/2018,2977700,22982000,3369200,35.21761703,39.86991501,35.6065979
11/5/2018,2860900,20520300,4129000,36.31476212,40.41785812,36.679039
11/6/2018,2001200,21057100,2778700,36.08808136,39.94420624,36.08637619
11/7/2018,3118600,34909800,3950600,37.00388336,41.23513412,36.88599396
11/8/2018,2447700,24380000,5475600,37.39377594,41.03858948,38.24064636
11/9/2018,1768300,24708400,5144700,37.44818497,41.44102097,38.54167557
11/12/2018,1940900,20734200,4398100,37.20336914,41.2819252,38.48523712
11/13/2018,2400700,19126200,9200700,37.53886795,40.72974777,39.03085709
11/14/2018,2414700,26943900,5425000,37.07641983,40.15885925,38.94618988
11/15/2018,4973200,24607500,6780000,37.08638,40.43962097,38.94618988
11/16/2018,3574700,23344000,7069200,37.02213669,40.72039413,38.25945663
11/19/2018,3114900,22458800,6167500,37.47183609,41.347435,38.38175201
11/20/2018,2443600,21791800,4330000,37.2882843,40.73910522,37.9490242
11/21/2018,2462000,18658300,1771000,37.17815399,40.33667374,37.84553909
11/23/2018,808600,8390900,2185400,37.31581497,40.37411118,37.81731796
11/26/2018,2472700,19115700,3674000,37.22404099,40.56129074,37.71383667
11/27/2018,1886900,18753200,5834400,37.08638,41.24448395,37.53509903
11/28/2018,4211000,18873500,5109000,37.80222321,42.02126694,37.74205399
11/29/2018,1867100,24729900,4519000,37.89400482,42.59215927,37.82672501
11/30/2018,3472000,42746200,4478900,38.42629242,43.26599884,37.45983887
12/3/2018,12595800,25399600,6550400,35.43442154,43.04138947,37.21525192
12/4/2018,6611100,27233300,5955700,35.18662643,42.24588394,37.5068779
12/6/2018,6247600,30539400,5609400,34.34229279,42.09614182,36.56614304
12/7/2018,6197500,26531200,3825900,34.23216248,41.10410309,35.91704178
12/10/2018,4645200,24846200,6815800,34.58091354,41.55333328,36.13341141
12/11/2018,3625400,22680200,6533300,34.28722763,41.18833542,36.36859512
12/12/2018,2437000,19147000,4978200,34.58091354,41.32872009,36.60377502
12/13/2018,2266800,22404100,2060400,34.81953049,41.71242905,36.91421509
12/14/2018,4222600,31333000,4628400,34.51667786,40.99179459,36.8295517
12/17/2018,4058500,36671600,4360600,34.02108383,40.34603882,36.07696152
12/18/2018,4396200,29531100,2882100,34.03943634,39.6815567,35.964077
12/19/2018,15393400,35045500,4191500,34.32394791,39.27912521,35.71949005
12/20/2018,6731700,32727400,4608600,34.78281784,39.26041031,35.78533936
12/21/2018,4567800,58755400,3445700,34.48913956,39.24169159,35.28675461
12/24/2018,2187600,18764900,3341300,34.17710114,37.95016861,34.67527771
12/26/2018,2996200,24133900,4502500,34.87459564,39.48501587,35.38082504
12/27/2018,3731600,27414300,6091200,34.87459564,40.10270309,35.08920288
12/28/2018,2869900,24175500,3241100,35.01225662,40.20565414,35.53134537
12/31/2018,1922100,19482000,1625600,35.06732178,40.85141754,35.72889709
1/2/2019,2381700,25076200,3594000,34.76446533,40.47705841,35.55956268
1/3/2019,2756700,27043200,5013500,34.71858215,39.34463882,36.05815506
